source,target,score
"anise, star",turmeric,1
"anise, star",vanilla,1
"anise, star","wine, rice",1
appetizers,dishes,2
appetizers,(vancouver),1
appetizers,francisco),1
appetizers,"sauté, stew",1
appetizers,allspice,1
appetizers,almonds,1
appetizers,apple cider or juice,2
appetizers,applejack,2
appetizers,apricots dried,2
appetizers,apricots jam,2
appetizers,apricots puree,2
appetizers,armagnac,1
appetizers,bacon,1
appetizers,bay leaf,1
appetizers,beef,1
appetizers,blackberries,1
appetizers,bourbon,1
appetizers,brioche,1
appetizers,"butter, unsalted",3
appetizers,butterscotch,1
appetizers,"cabbage, red",1
appetizers,calvados,3
appetizers,caramel,3
appetizers,cardamom,1
appetizers,celery,1
appetizers,celery root,1
appetizers,cheese camembert,2
appetizers,cheese cheddar,2
appetizers,cheese goat,2
appetizers,cheese gruyère,2
appetizers,cherries dried,1
appetizers,cherries fresh,1
appetizers,chestnuts,1
appetizers,chicken,1
appetizers,chives,1
appetizers,cider,1
appetizers,cinnamon,4
appetizers,cloves,2
appetizers,cognac,2
appetizers,cointreau,1
appetizers,coriander,1
appetizers,cranberries,1
appetizers,cream and ice cream,3
appetizers,crème anglaise (sauce),1
appetizers,crème fraîche,1
appetizers,crust pastry,1
appetizers,crust pie,1
appetizers,cumin,1
appetizers,curry powder,1
appetizers,custards,2
appetizers,dates,1
appetizers,duck,1
appetizers,eggplant,1
appetizers,fennel,1
appetizers,frisée,1
appetizers,ginger,2
appetizers,goose,1
appetizers,hazelnuts,1
appetizers,horseradish,1
appetizers,ice cream,1
appetizers,kirsch,2
appetizers,lavender,1
appetizers,lemon juice,3
appetizers,lemon zest,3
appetizers,lemon thyme,1
appetizers,lychees,1
appetizers,madeira,2
appetizers,maple syrup,1
appetizers,mayonnaise,1
appetizers,meringue,1
appetizers,molasses,1
appetizers,mustard,1
appetizers,nutmeg,2
appetizers,nuts,1
appetizers,oatmeal and oats,1
appetizers,oil canola,1
appetizers,oil hazelnut,1
appetizers,oil walnut,1
appetizers,olive oil,1
appetizers,orange juice,1
appetizers,orange zest,1
appetizers,parsley,1
appetizers,peanuts and peanut butter,1
appetizers,pears,1
appetizers,pecans,2
appetizers,"pepper, black",1
appetizers,pies,1
appetizers,pineapple,1
appetizers,pine nuts,2
appetizers,pistachios,1
appetizers,plums,1
appetizers,pomegranates,1
appetizers,pork,2
appetizers,poultry,1
appetizers,prunes,1
appetizers,puff pastry,1
appetizers,pumpkin,2
appetizers,quince,1
appetizers,rhubarb,1
appetizers,rice and rice pudding,1
appetizers,rosemary,1
appetizers,rum dark,3
appetizers,rum light,3
appetizers,salads fruit,1
appetizers,salads green,1
appetizers,"salt, kosher",1
appetizers,sauerkraut,1
appetizers,sherry,2
appetizers,soups,1
appetizers,sour cream,1
appetizers,star anise,1
appetizers,sugar brown,3
appetizers,sugar white,3
appetizers,sweet potatoes,2
appetizers,tarragon,1
appetizers,tarts,1
appetizers,thyme,1
appetizers,vanilla,2
appetizers,verjus,1
appetizers,vermouth,2
appetizers,vinegar apple cider,1
appetizers,vinegar raspberry,1
appetizers,walnuts,3
appetizers,wine red,1
appetizers,wine dry white,1
appetizers,yogurt,1
"apricots, dried",techniques poach,2
"apricots, dried",techniques stew,2
"apricots, dried",allspice,1
"apricots, dried","cherries, dried",1
"apricots, dried",cinnamon,1
"apricots, dried",currants,1
"apricots, dried",custard,1
"apricots, dried",french toast,1
"apricots, dried",ginger,1
"apricots, dried",hazelnuts,1
"apricots, dried",honey,1
"apricots, dried",ice cream,1
"apricots, dried",lemon juice,1
"apricots, dried",lemon zest,1
"apricots, dried",madeira,1
"apricots, dried",moroccan cuisine,1
"apricots, dried",orange juice,2
"apricots, dried",orange zest,2
"apricots, dried",pancakes/crepes,1
"apricots, dried",pistachios,1
"apricots, dried",pork,1
"apricots, dried",prunes,1
