source,target_cleaned,score,key_ingredient,seasonality,ingredient,accompaniment,avoid,target_raw,
anchovies,mediterranean cuisine,1,,,,,,mediterranean cuisine,
anchovies,mustard,1,,,,,,"mustard (e.g., dijon)",
anchovies,"mustard, dijon",1,,,,,,"mustard (e.g., dijon)",
anchovies,nectarine,1,,,,,,nectarines,
anchovies,olive oil,3,,,,,,olive oil,
anchovies,olives,2,,,,,,"olives (e.g., black, green, niçoise)",
anchovies,"olives, black",2,,,,,,"olives (e.g., black, green, niçoise)",
anchovies,"olives, green",2,,,,,,"olives (e.g., black, green, niçoise)",
anchovies,"olives, niçoise",2,,,,,,"olives (e.g., black, green, niçoise)",
anchovies,onion,1,,,,,,onions,
anchovies,"orange, zest",1,,,,,,"orange, zest",
anchovies,"parsley, flat-leaf",2,,,,,,"parsley, flat-leaf",
anchovies,pasta,2,,,,,,pasta,
anchovies,"pepper, black",2,,,,,,"pepper, black",
anchovies,"pepper, white",2,,,,,,"pepper, white",
anchovies,pizza,1,,,,,,pizza,
anchovies,potato,1,,,,,,potatoes,
anchovies,puttanesca sauce,1,1,,,,,puttanesca sauce (key ingredient),
anchovies,red pepper flakes,1,,,,,,red pepper flakes,
anchovies,rosemary,1,,,,,,rosemary,
anchovies,salad,1,1,,,,,"salads, esp. caesar (key ingredient)",
anchovies,"salad, caesar",2,1,,,,,"salads, esp. caesar (key ingredient)",
anchovies,salmon,1,,,,,,salmon,
anchovies,"salt, kosher",2,,,,,,salt kosher,
anchovies,"salt, sea",2,,,,,,salt sea,
anchovies,shallot,1,,,,,,shallots,
anchovies,sherry,3,,,,,,sherry,
anchovies,tapenade,1,1,,,,,tapenade (key ingredient),
anchovies,thyme,1,,,,,,thyme,
anchovies,tomato,1,,,,,,tomatoes,
anchovies,tuna,1,,,,,,tuna,
anchovies,"vinegar, champagne",2,,,,,,vinegar champagne,
anchovies,"vinegar, red wine",2,,,,,,vinegar red wine,
anchovies,"vinegar, sherry",2,,,,,,vinegar sherry,
angelica,anise,1,,,,,,anise,
angelica,apricot,2,,,,,,apricots,
angelica,candy,1,,,,,,candy,
angelica,cream,2,,,,,,cream and ice cream,
angelica,cream,2,,,,,,cream and ice cream,
angelica,custard,1,,,,,,custards,
angelica,dessert,2,,,,,,desserts,
angelica,fish,1,,,,,,fish,
angelica,fruit,1,,,,,,fruits,
angelica,"ginger, candied",2,,,,,,ginger candied,
